,Reviews,sentiment,hugging_face_label
114,"So happy to get awesome services by Someshwar,Arindam , kushagra and finally Purvi. Celebrated my birthday here with my family tonight. Menu, Ambience, Hosting, all were praise worthy. Nice decor and food variety, specially the desserts. Coming back soon.More",1.0,1
115,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Someshwar, Arindam, Kushagra and Purvi to whom it...More",1.0,1
116,"The food was awesome, there were n exquisite variety of food. Staff were welcoming as well. The ambience were welcoming and luxurious.More",1.0,1
117,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with the team to whom it will be highly...More",1.0,1
118,Had a great experience for the staff especially from Deepak and Rupam. The food was exceptional good and the cocktails made by Prasenjit was up to the mark.,1.0,1
119,"Had a lovely experience. Thanks to Mr Santanu and Mr Saurav for assisting so well. Very cozy experienced, well behaved and professional people",1.0,1
120,Good service by Santanu and Gaurav. Happy with the experience. Very hygienic and professional behavior displayed by the staff. Food was great as well.,1.0,1
121,"We visited of 14/01/2023 on the occasion of our anniversary and it was one of a class experience. Starting from the decor to the spread and taste everything was regal. The hospitality by Sneha deserves a special mention indeed, her sweet behaviour and service made...More",1.0,1
122,"i came to GRAND MARKET PAVILION to find a peaceful evening with good food and ambience which was taken care of by Ms Suchandra i was amazed to find her experience of understanding the guest needs,I found her a proper hotelier, must mention the taste...More",1.0,1
123,I used to come on regular basis to take official Dinner and Lunch under Mr.Shantanu and Mr.Rohit . Their service upto the mark. Food quality is good. Mutton quality need to improve more. If services remain good then I will come with my colleagues regularly.,1.0,1
124,"It was awesome spending birthday event lunch at ITC Grand Market Pavillion , would like to visit again Thanks to Mr. Sourav",1.0,1
125,"The ambience was too good .our server sourav ,Rupam ,Sumeswer was looking after so nice .the food was so good .I like the Indian food .nice hospitality",1.0,1
126,An amazing evening birthday dinner thanks to Mr.Arindam for The great hospitality... Would surely recommend this Place for best gastrointestinal experience!!!!,1.0,1
127,Excellent service by Santanu and team. We were a big group of 30 people and every person was catered to individually!,1.0,1
128,Good food and services environment is good indian food and Desert is good... thank you Rohit and sourav,1.0,1
129,"Awesome Service,food both in quality and quantity with affordable price(appox. INR - 2000/- per person). Excellent customer service by Santanu & Ashad throughout the visit. Thanks!!",1.0,1
130,"The ambiences is too good . Our server sourav is doing the great job and take care so well . Love to visit the place again . It was a nice dinner . The food was so good .,, ððððð",1.0,1
131,"So happy to get awesome services by Someshwar,Arindam , kushagra and finally Purvi. Celebrated my birthday here with my family tonight. Menu, Ambience, Hosting, all were praise worthy. Nice decor and food variety, specially the desserts. Coming back soon.More",1.0,1
132,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Someshwar, Arindam, Kushagra and Purvi to whom it...More",1.0,1
133,"The food was awesome, there were n exquisite variety of food. Staff were welcoming as well. The ambience were welcoming and luxurious.More",1.0,1
134,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with the team to whom it will be highly...More",1.0,1
135,Suddenly came for lunch which was completely unplanned but finally end up nicely excellent food special thanks to Santanu and his wonderful team who look after me well so many things brought to my table but as we are less eater so had small portions...More,1.0,1
136,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Santanu and his team to whom it will...More",1.0,1
137,Excellent food with nice atmosphere dessert sections is amazing special thanks to Santanu and team those who specially look after us very well will visit againMore,1.0,1
138,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Santanu and the team to whom it will...More",1.0,1
139,Santanu and Someshwar were excellent and provided great service. Everything was great! Food was very delicious and we had a great time!More,1.0,1
140,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Santanu and Someshwar to whom it will be...More",1.0,1
141,"the food taste along with the behavior of the associate says it all, it was so so good .Thanks Suchandra. Plan to visit and meet you soon for yoour great and quick service Thanks AgainMore",1.0,1
142,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Suchandra to whom it will be highly inspiring....More",1.0,1
143,Excellent place to hangout with great food and ambience. Rohit was very helpful and a very charming personMore,1.0,1
144,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Rohit to whom it will be highly inspiring....More",1.0,1
145,"Good spread. Good service. Really appreciate Arindam and Rahit. Keep up the good work! Taste of the food is awesome, specially Asian kitchenMore",1.0,1
146,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Arindam and Rahit to whom it will be...More",1.0,1
147,"Very good ambience, good quality of foods, neat and clean, very impressive behaviour by all the employee.. Specially Thanks to Santanu Dey Roy and Debanjan Chakraborty for their cooperation...More",1.0,1
148,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Santanu and Debanjan to whom it will be...More",1.0,1
149,Wonderful Sunday new year brunch spent with family special thanks to Santanu for helping us and guide us thoroughly he look after us very well and also the food is also so good specially the dessert sectionMore,1.0,1
150,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Santanu to whom it will be highly inspiring....More",1.0,1
151,"While the food is awesome, the service is the best one can experience !! Special thanks to Santanu Dey Roy, Nausheen and the entire staff. Keep up the good workMore",1.0,1
152,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Santanu, Nausheen and the team to whom it...More",1.0,1
153,Had a great experience at ITC Royal Bengal Grand Pavilion while staying here for 2 weeks. It was made even more special by Santanu Dey Roy who took special care of me and my family. Very impressed with him as I found him very hardworking...More,1.0,1
154,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Santanu to whom it will be highly inspiring....More",1.0,1
155,Food quality is awesome... Ambiance is superb..The hospitality of All the staff of Royal specially Santanu dey roy and arshad are spectacular.. Keep it up..More,1.0,1
156,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Santanu and Arshad to whom it will be...More",1.0,1
157,"Excellent service! Loved Bengali dishes, specially luchi aloor dom. Santanu is awesome. Provided everything i asked for.More",1.0,1
158,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Santanu to whom it will be highly inspiring....More",1.0,1
159,"Great lunch and breakfast at the Grand Market Pavilion! They have so many stations, multi cuisine, and lots of Kolkata touches too. Very impressed with the quality and variety of options here. Tanmoy Roy and the staff were great as well there. Would definitely recommend.More",1.0,1
160,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Tanmoy to whom it will be highly inspiring....More",1.0,1
161,Wonderful experience at royal Bengal once again nice stay during busy days as all around wedding happening special thanks to santanu who never disappoint me with my breakfast loved his dedication and behaviour same as usual friendly and helpfulMore,1.0,1
162,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your stay with us and also your visit at Grand Market Pavilion. Your appreciation has been shared with Santanu to whom...More",1.0,1
163,Thanks so much team for the beautiful lunch buffet. The menu was quite elaborate and it satisfied fussy eaters like us. My 6 yrs old daughter was ecstatic with the dessert spread! special Thanks to Arindam!!More,1.0,1
164,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent visit at Grand Market Pavilion. Your appreciation has been shared with Arindam to whom it will be highly inspiring....More",1.0,1
165,Suddenly came for lunch which was completely unplanned but finally end up nicely excellent food special thanks to Santanu and his wonderful team who look after me well so many things brought to my table but as we are less eater so had small portions...More,1.0,1
166,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Santanu and his team to whom it will...More",1.0,1
167,Excellent food with nice atmosphere dessert sections is amazing special thanks to Santanu and team those who specially look after us very well will visit againMore,1.0,1
168,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Santanu and the team to whom it will...More",1.0,1
169,Santanu and Someshwar were excellent and provided great service. Everything was great! Food was very delicious and we had a great time!More,1.0,1
170,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Santanu and Someshwar to whom it will be...More",1.0,1
171,"the food taste along with the behavior of the associate says it all, it was so so good .Thanks Suchandra. Plan to visit and meet you soon for yoour great and quick service Thanks AgainMore",1.0,1
172,"Dear Guest, Namaste! Thank you for sharing your feedback with us and we are delighted to note that you had a wonderful experience during your recent with at Grand Market Pavilion. Your appreciation has been shared with Suchandra to whom it will be highly inspiring....More",1.0,1
173,Excellent place to hangout with great food and ambience. Rohit was very helpful and a very charming personMore,1.0,1
